text,hypothesis,majority_label
more,the last,independent
amount,round,independent
eastern,middle,independent
economy,budget,entailment
find in,take place in,independent
"action ,",measure to,independent
road,sidewalk,entailment
young,a young man,entailment
drug,of drug,equivalence
not,well,independent
command,iraq,entailment
the woman,his mother,entailment
the kid,the child,entailment
boy,girl,alternation
activity,human,independent
vehicle,motorcycle,entailment
board of director,of director,entailment
power,trial,independent
and black,and white,alternation
mr.,official,independent
feature,wear,independent
africa,south,other-related
income,year,other-related
ngo,non-governmental organisation,equivalence
assassin,kill,other-related
's leaders,political leaders,entailment
saturday .,say saturday .,other-related
bird,duck,entailment
reach,seal,independent
a friend,sport,independent
the walk,walk,equivalence
ariel,israeli,independent
strong,unite,independent
being,immediate,independent
the lady,the young lady,entailment
monday,talks,independent
island,territorial,independent
say,suppose to,independent
the environment,with environmental,other-related
the president 's,to president,other-related
japan,north korea,alternation
findings,review,other-related
apply,up,independent
are,view,independent
a young person,a young man,entailment
current,program,independent
in israel,the israeli,other-related
don,is,independent
order,show,independent
state,united,other-related
have,lead,independent
area,no.,independent
a small,small group of,entailment
the federal,federal government,entailment
same,small,independent
north and south,south,other-related
emergency,river,independent
add,rise,other-related
attack against,attack in,other-related
brown,close,independent
of iraq,say the,independent
bush,unite,independent
know,notice,independent
convict,death,independent
coat,park,independent
area,something,independent
award,name,independent
second,world,other-related
human,man,entailment
public,the people,equivalence
minister,zhaoxing,independent
dirty,muddy,entailment
brown,horse,other-related
minister,party,other-related
canada,member state,independent
hostilities,military,other-related
foreign,secretary,other-related
lowest,rate,other-related
a car,a car bomb,entailment
have the,the government,independent
car,the vehicle,equivalence
ready,starting,other-related
a number,several country,independent
chaos,order,alternation
cup,drink,other-related
close,relate,independent
interest rates,long-term interest rates,entailment
's group,militant group,entailment
sank,was,independent
environmental,the environment,other-related
sulfur,sulphur,equivalence
international,top,independent
cardboard,box,entailment
set,spot,independent
call,take,independent
iraqi,official,independent
state,territorial,other-related
provide,service,other-related
politician,member,entailment
the u.s,u.s.,equivalence
debut,game,independent
accession,the eu,independent
foreign,foreign national,entailment
president of the,the head,equivalence
hand,play,independent
new,new york,other-related
"recently ,",the close,independent
bond,well,independent
%,percent in,entailment
current,territorial,independent
soldier,war,other-related
control,disease,other-related
claim,was,independent
"child ,","boy ,",entailment
the ocean,the pool,alternation
are moving,are on,independent
european union,the eu,equivalence
person,owner,entailment
in mexico,in mexico city,entailment
cast,determine,independent
political,terrorist,other-related
a case,number,independent
road,roadway,equivalence
standing,walk,alternation
carry,target,independent
somebody,a woman,entailment
business,demand,other-related
man,nine,independent
lunar,new,independent
a man,funny,independent
crash,emergency,other-related
great,light,independent
board,draw,independent
function,study,independent
employ,take,independent
agreement,computer,independent
is making,is participating in,independent
speak,telephone,other-related
occur,period,other-related
hospital,were,independent
commission,state,other-related
a friend,a man,entailment
few people,lots of people,alternation
aids,control,independent
is a,is just one,independent
there,yesterday,independent
convention,part,independent
is leading,leader of,other-related
government,program,other-related
a us soldier,u.s. soldier,equivalence
official,soldier,other-related
happy,wish,independent
european,public,independent
at least,up,independent
ago,years,other-related
do,estimate,independent
language,sign language,entailment
international monetary fund,the world bank,alternation
affairs,manager,other-related
drop by,fall in,other-related
look,wait,independent
sector,trade,other-related
korea,u.s.,independent
were,were said to,entailment
further,request,independent
the child,girl,entailment
man,sport,independent
loss of,lose their,entailment
crowd,restaurant,independent
new,possible,independent
earth,the sun,alternation
judiciary,senate,entailment
go,kid,independent
is leading the,is the,independent
coalition,party,equivalence
national,other,independent
have,represent,independent
do,is,other-related
day,on sunday,entailment
business,general,independent
agree to,will be,independent
gentle,jump,independent
is in,sit in,entailment
has been,have open,independent
day,sun,other-related
in mexico,mexico city,entailment
