truth,hypothesis,majority_label
tattoo,woman,independent
chief,head,hyponym
a government,the federal,other-related
energy,fuel,hypernym
management,pacific,independent
early,early-warning,hypernym
have,the case,independent
pilot,pilot 's,other-related
civilian .,people .,hyponym
the unite,u.s.,other-related
a member of,a representative of,hypernym
iraq,state,independent
big,building,independent
grass,high,independent
business,measure,independent
a bike,the bicycle,synonym
base,body,independent
estimate,number,hypernym
state,state in,hyponym
open,past,independent
family,man,hypernym
more,the last,independent
amount,round,independent
eastern,middle,independent
budget,economy,hyponym
find in,take place in,independent
"action ,",measure to,independent
road,sidewalk,hypernym
a young man,young,hyponym
drug,of drug,synonym
not,well,independent
command,iraq,hypernym
his mother,the woman,hyponym
the child,the kid,hyponym
boy,girl,alternation
activity,human,independent
motorcycle,vehicle,hyponym
board of director,of director,hypernym
power,trial,independent
and black,and white,antonym
mr.,official,independent
feature,wear,independent
africa,south,other-related
income,year,other-related
ngo,non-governmental organisation,synonym
assassin,kill,other-related
's leaders,political leaders,hypernym
saturday .,say saturday .,other-related
bird,duck,hypernym
reach,seal,independent
a friend,sport,independent
the walk,walk,synonym
ariel,israeli,independent
strong,unite,independent
being,immediate,independent
the lady,the young lady,hypernym
monday,talks,independent
island,territorial,independent
say,suppose to,independent
the environment,with environmental,other-related
the president 's,to president,other-related
japan,north korea,alternation
findings,review,other-related
apply,up,independent
are,view,independent
a young man,a young person,hyponym
current,program,independent
in israel,the israeli,other-related
don,is,independent
order,show,independent
state,united,other-related
have,lead,independent
area,no.,independent
a small,small group of,hypernym
federal government,the federal,hyponym
same,small,independent
north and south,south,other-related
emergency,river,independent
add,rise,other-related
attack against,attack in,other-related
brown,close,independent
of iraq,say the,independent
bush,unite,independent
know,notice,independent
convict,death,independent
coat,park,independent
area,something,independent
award,name,independent
second,world,other-related
human,man,hypernym
public,the people,synonym
minister,zhaoxing,independent
dirty,muddy,hypernym
brown,horse,other-related
minister,party,other-related
canada,member state,independent
hostilities,military,other-related
foreign,secretary,other-related
lowest,rate,other-related
a car,a car bomb,hypernym
have the,the government,independent
car,the vehicle,synonym
ready,starting,other-related
a number,several country,independent
chaos,order,antonym
cup,drink,other-related
close,relate,independent
interest rates,long-term interest rates,hypernym
's group,militant group,hypernym
sank,was,independent
environmental,the environment,other-related
sulfur,sulphur,synonym
international,top,independent
box,cardboard,hyponym
set,spot,independent
call,take,independent
iraqi,official,independent
state,territorial,other-related
provide,service,other-related
member,politician,hyponym
the u.s,u.s.,synonym
debut,game,independent
accession,the eu,independent
foreign,foreign national,hypernym
president of the,the head,synonym
hand,play,independent
new,new york,other-related
"recently ,",the close,independent
bond,well,independent
%,percent in,hypernym
current,territorial,independent
soldier,war,other-related
control,disease,other-related
claim,was,independent
"boy ,","child ,",hyponym
the ocean,the pool,alternation
are moving,are on,independent
european union,the eu,synonym
owner,person,hyponym
in mexico,in mexico city,hypernym
cast,determine,independent
political,terrorist,other-related
a case,number,independent
road,roadway,synonym
standing,walk,alternation
carry,target,independent
a woman,somebody,hyponym
business,demand,other-related
man,nine,independent
lunar,new,independent
a man,funny,independent
crash,emergency,other-related
great,light,independent
board,draw,independent
function,study,independent
employ,take,independent
agreement,computer,independent
is making,is participating in,independent
speak,telephone,other-related
occur,period,other-related
hospital,were,independent
commission,state,other-related
a friend,a man,hypernym
few people,lots of people,antonym
aids,control,independent
is a,is just one,independent
there,yesterday,independent
convention,part,independent
is leading,leader of,other-related
government,program,other-related
a us soldier,u.s. soldier,synonym
official,soldier,other-related
happy,wish,independent
european,public,independent
at least,up,independent
ago,years,other-related
do,estimate,independent
language,sign language,hypernym
international monetary fund,the world bank,alternation
affairs,manager,other-related
drop by,fall in,other-related
look,wait,independent
sector,trade,other-related
korea,u.s.,independent
were,were said to,hypernym
further,request,independent
girl,the child,hyponym
man,sport,independent
lose their,loss of,hyponym
crowd,restaurant,independent
new,possible,independent
earth,the sun,alternation
judiciary,senate,hypernym
go,kid,independent
is leading the,is the,independent
coalition,party,synonym
national,other,independent
have,represent,independent
do,is,other-related
day,on sunday,hypernym
business,general,independent
agree to,will be,independent
gentle,jump,independent
is in,sit in,hypernym
has been,have open,independent
day,sun,other-related
in mexico,mexico city,hypernym
paris,york,independent
is,share,independent
front,home,independent
government,washington,other-related
a plane,the pilot,other-related
divide,hold,independent
survival,survival rates,other-related
girl 's,the girl,synonym
author,playwright,other-related
place,the first,other-related
chief,early,independent
place in,were held in,synonym
developed,help,independent
beige,tan,synonym
man,most,independent
"""",real,independent
promote,serve,independent
", accord",was,independent
council,un,independent
number,rate,other-related
"% ,",percent .,synonym
part,track,independent
automotive,car,synonym
law,project,independent
industry,sector,other-related
day of the,first day of,hypernym
boil,cook,hyponym
eligible,place,independent
cause,light,independent
steps,the operation,independent
militant,palestinian militant,hypernym
a cow,man,independent
government,lake,independent
do n't,is being,independent
is being,make,independent
some child,some kid,synonym
english,minister,independent
are 15,the fifteen,synonym
resource,the government,independent
fine,first,independent
iraqi,strike,other-related
into the sea,into the water,hyponym
man,"man ,",synonym
of child,of kid,synonym
candidate,presidency,hypernym
company,power,independent
man,right,independent
a global,world,synonym
kill in,their life in,antonym
box,fight,independent
kill,top,independent
police station,the police,other-related
approve,use,independent
baghdad,the country,hyponym
